name,lat,long
Litbang Pertanian,-6.2852688,106.837324
Seberang Kecamatan Pasar Minggu,-6.2855503,106.8354652
SMU Balai Rakyat,-6.2850716,106.8370153
UNAS,-6.2791906,106.8397312
Jalan Murai II,-6.2876556,106.8254687
SD Pelita Pagi Jatipadang,-6.2870708,106.8292268
Graha Simatupang,-6.2971454,106.8297615
Gang Haji Saibun,-6.2897328,106.8288598
SDN 14 Ragunan,-6.2980112,106.8263861
Pondok Kopi Raya,-6.2183123,106.9395547
SDN 14 Ragunan,-6.2982305,106.8263099
Graha Pejaten,-6.2773874,106.8418923
Flyover Pondok Kopi,-6.217739,106.9389821
Jalan Timbul Raya,-6.350278,106.803039
Jalan Putra III Jagakarsa,-6.3355478,106.831529
Seberang Sekolah Avicenna Jagakarsa,-6.3363533,106.8298925
Jalan Kebembem,-6.3383212,106.8226331
Pertigaan Kahfi II Sirsak,-6.3361505,106.8254698
Gang Haji Ganan,-6.3354767,106.8191081
Jalan Anggrek,-6.3356557,106.8189793
SDN 05 Jagakarsa,-6.3367517,106.8185749
SDN 06 Jagakarsa,-6.3370459,106.8183862
Pertigaan Balai Pertemuan Warga,-6.3508236,106.795858
Jalan Rindang Warung Sila,-6.3454231,106.8116899
Gang Haji Mesir,-6.3376061,106.8157015
Gang Haji Mesir,-6.3380383,106.8165437
Jalan Sadar Raya,-6.3427803,106.8126035
Jalan Timbul Raya,-6.3503891,106.8032543
Jalan Sadar Raya,-6.3428944,106.8125395
Simpang Sadar Raya Montong,-6.3380101,106.8135056
Simpang Sadar Raya Montong,-6.338037,106.8135535
Casamora Rawa Cupang,-6.338173,106.8179193
Waduk Brigif,-6.351604,106.7985107
Waduk Brigif,-6.3516499,106.7986814
Pertigaan Balai Pertemuan Warga,-6.3508753,106.7958722
Pool Aselih JAK.64,-6.3477706,106.7957576
SDN 03 Jagakarsa,-6.3277951,106.8201854
Madrasah Ibtidaiyah Negeri 8 Srengseng Sawah,-6.3359092,106.8259593
MIN 8 Srengseng Sawah,-6.3360023,106.8260224
Pasar Minggu,-6.2844078,106.844159
Pool 9H Transjakarta - Cipedak,-6.3564874,106.8094385
Bona Indah,-6.3011484,106.7805267
Bona Indah,-6.3011732,106.7808302
Andara Margasatwa 3,-6.3128557,106.803438
Simpang Bango Margasatwa,-6.3102086,106.8034487
Al Jabr Islamic Scholl,-6.308403,106.8036854
Al Jabr Islamic School,-6.3082695,106.8035749
Perempatan Tridharma Raya,-6.3030595,106.8045786
Pinang Kalijati 1,-6.3062492,106.801024
